name,Price_Discounted,Price,Price_Discount( %OFF ),Name_Product
HRX by Hrithik Roshan,489,699,30,Printed Round Neck T-Shirt 
DILLINGER,359,899,60,Colourblocked Round Neck Navy Blue T-shirt 
Difference of Opinion,437,1249,65,Solid Round Neck T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
FIDO DIDO,579,1449,60,Solid Polo Collar T-shirt 
The North Face,3449,6899,50,Terra Metro Training T-shirt 
Rigo,399,999,60,Round Neck T-shirt 
Mast & Harbour,999,,,Printed Polo Collar T-shirt 
Calvin Klein Jeans,2299,,,Printed Round Neck T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
GESPO,399,999,60,Solid Round Neck T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
Timberland,1749,3499,50,Solid Polo Collar T-shirt 
DILLINGER,419,1199,65,Solid Round Neck T-shirt 
next,762,897,15,Men Solid V-Neck T-shirt 
WROGN,584,899,35,Printed Round Neck T-shirt 
Mast & Harbour,499,999,50,Solid Polo Collar T-shirt 
Difference of Opinion,439,1099,60,Round Neck  T-shirt 
H&M,399,,,Men Cotton T-shirt Regular Fit 
Kook N Keech Marvel,359,599,40,Printed Round Neck T-shirt 
Difference of Opinion,439,1099,60,Round Neck T-shirt 
ether,399,,,Melange T-shirt 
Difference of Opinion,439,1099,60,Printed Round Neck T-shirt 
Roadster,699,999,30,T-shirt with Elbow Patch 
H&M,399,,,V-Neck T-shirt Regular Fit 
DILLINGER,439,1099,60,Solid Round Neck Rust T-shirt 
H&M,399,,,Men Cotton T-shirt Regular Fit 
Mast & Harbour,999,,,Printed Polo Collar T-shirt 
DILLINGER,359,899,60,Printed Round Neck Green T-shirt 
Roadster,419,599,30,Printed Round Neck T-shirt 
Mast & Harbour,799,999,20,Printed Polo Collar T-shirt 
HERE&NOW,629,899,30,Solid Round Neck T-shirt 
FIDO DIDO,439,1099,60,Printed Polo Collar T-shirt 
Superdry,2699,3599,25,Colourblocked Round Neck T-shirt 
Nike,1695,,,Men PSG PSG Basketball T-shirt 
WROGN,999,,,Men Slim Fit Printed T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
Difference of Opinion,404,899,55,Printed T-shirt 
DILLINGER,419,1199,65,Solid Round Neck T-shirt 
Roadster,349,699,50,Brush Printed T-shirt 
Difference of Opinion,399,999,60,Printed Round Neck T-shirt 
UNDER ARMOUR,2799,,,Project Rock BSR Training 
HRX by Hrithik Roshan,769,1099,30,Printed T-shirt 
WROGN,1039,1299,20,Solid Slim Fit T-shirt 
Difference of Opinion,439,1099,60,Colourblocked Round Neck Rust T-shirt 
Levis,1999,,,Men Printed Round Neck T-shirt 
HRX by Hrithik Roshan,539,899,40,Slim Rapid Dry Raglan T-shirt 
Roadster,439,799,45,Colourblocked Round Neck T-shirt 
Nike,1295,,,BREATHE RUN DRI FIT T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
HRX by Hrithik Roshan,489,699,30,Printed Round Neck T-Shirt 
DILLINGER,359,899,60,Colourblocked Round Neck Navy Blue T-shirt 
Difference of Opinion,437,1249,65,Solid Round Neck T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
FIDO DIDO,579,1449,60,Solid Polo Collar T-shirt 
Rigo,399,999,60,Round Neck T-shirt 
H&M,799,,,Men Polo Shirt Slim Fit 
H&M,399,,,Cotton T-shirt Regular Fit 
GESPO,399,999,60,Solid Round Neck T-shirt 
Pepe Jeans,899,,,Men Slim Fit Solid T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
Jack & Jones,1499,,,Printed Slim Fit T-shirt 
next,1973,2631,25,Men Solid Polo Collar T-shirt 
DILLINGER,419,1199,65,Solid Round Neck T-shirt 
Mast & Harbour,499,999,50,Solid Polo Collar T-shirt 
Difference of Opinion,439,1099,60,Round Neck  T-shirt 
H&M,399,,,Men Cotton T-shirt Regular Fit 
Calvin Klein Jeans,3499,4999,30,Colourblocked Polo T-shirt 
Kook N Keech Marvel,359,599,40,Printed Round Neck T-shirt 
Difference of Opinion,439,1099,60,Round Neck T-shirt 
ether,399,,,Melange T-shirt 
Difference of Opinion,439,1099,60,Printed Round Neck T-shirt 
H&M,399,,,V-Neck T-shirt Regular Fit 
Roadster,419,599,30,Printed Round Neck T-shirt 
DILLINGER,439,1099,60,Solid Round Neck Rust T-shirt 
H&M,399,,,Men Cotton T-shirt Regular Fit 
Nike,1695,,,NSW TEE SNKR CLTR 4 T-shirt 
DILLINGER,359,899,60,Printed Round Neck Green T-shirt 
Mast & Harbour,799,999,20,Printed Polo Collar T-shirt 
Levis,1999,,,Colourblocked Polo T-shirt 
FIDO DIDO,439,1099,60,Printed Polo Collar T-shirt 
WROGN,584,899,35,Printed Round Neck T-shirt 
Nike,1495,,,Men BREATHE RUN DRI FIT Tshirt 
Jack & Jones,1499,,,Men Slim Fit Printed T-shirt 
H&M,399,,,Cotton T-shirt Regular Fit 
Difference of Opinion,404,899,55,Printed T-shirt 
Nike,1995,,,DRI FIT SUPERSET SS PX GFX Gym 
DILLINGER,419,1199,65,Solid Round Neck T-shirt 
Difference of Opinion,399,999,60,Printed Round Neck T-shirt 
Roadster,699,999,30,T-shirt with Elbow Patch 
WROGN,1039,1299,20,Solid Slim Fit T-shirt 
HRX by Hrithik Roshan,769,1099,30,Printed T-shirt 
Tommy Hilfiger,2399,,,Men Slim Fit Solid T-shirt 
Difference of Opinion,439,1099,60,Colourblocked Round Neck Rust T-shirt 
Louis Philippe Sport,1499,,,Slim Fit Printed T-shirt 
HRX by Hrithik Roshan,599,999,40,Rapid Dry Training T-shirt 
